timestamp,distance_raw,signal_strength,temperature,distance_ref
2026-01-11T19:53:47.836958,1001.96,142,26.1,1000
2026-01-11T19:53:47.936958,499.08,55,32.9,500
2026-01-11T19:53:48.036958,1513.78,59,31.7,1500
2026-01-11T19:53:48.136958,99.58,122,32.3,100
2026-01-11T19:53:48.236958,505.46,119,24.8,500
2026-01-11T19:53:48.336958,102.2,108,22.8,100
2026-01-11T19:53:48.436958,1489.1,68,21.1,1500
2026-01-11T19:53:48.536958,195.29,107,29.8,200
2026-01-11T19:53:48.636958,1525.08,128,28.5,1500
2026-01-11T19:53:48.736958,199.85,109,24.3,200
2026-01-11T19:53:48.836958,1495.72,142,32.4,1500
2026-01-11T19:53:48.936958,98.6,134,21.4,100
2026-01-11T19:53:49.036958,97.64,103,27.4,100
2026-01-11T19:53:49.136958,1444.83,132,28.7,1500
2026-01-11T19:53:49.236958,98.37,61,24.9,100
2026-01-11T19:53:49.336958,530.42,130,28.1,500
2026-01-11T19:53:49.436958,101.43,68,27.4,100
2026-01-11T19:53:49.536958,499.1,122,34.3,500
2026-01-11T19:53:49.636958,97.13,131,28.4,100
2026-01-11T19:53:49.736958,989.94,153,20.9,1000
2026-01-11T19:53:49.836958,524.9,86,28.3,500
2026-01-11T19:53:49.936958,99.45,95,31.9,100
2026-01-11T19:53:50.036958,481.4,123,28.2,500
2026-01-11T19:53:50.136958,102.0,123,30.8,100
2026-01-11T19:53:50.236958,100.91,122,25.4,100
2026-01-11T19:53:50.336958,992.6,169,22.9,1000
2026-01-11T19:53:50.436958,1546.13,138,24.7,1500
2026-01-11T19:53:50.536958,101.62,119,21.6,100
2026-01-11T19:53:50.636958,496.26,85,22.5,500
2026-01-11T19:53:50.736958,991.35,144,24.8,1000
2026-01-11T19:53:50.836958,965.51,107,29.3,1000
2026-01-11T19:53:50.936958,1468.22,107,24.5,1500
2026-01-11T19:53:51.036958,99.46,103,22.6,100
2026-01-11T19:53:51.136958,203.55,84,32.3,200
2026-01-11T19:53:51.236958,101.5,63,33.1,100
2026-01-11T19:53:51.336958,466.34,132,30.0,500
2026-01-11T19:53:51.436958,102.68,183,29.6,100
2026-01-11T19:53:51.536958,1447.68,149,28.8,1500
2026-01-11T19:53:51.636958,1564.12,91,31.2,1500
2026-01-11T19:53:51.736958,999.25,103,27.4,1000
2026-01-11T19:53:51.836958,1510.47,103,34.4,1500
2026-01-11T19:53:51.936958,1028.15,105,30.0,1000
2026-01-11T19:53:52.036958,491.04,110,24.9,500
2026-01-11T19:53:52.136958,201.01,103,28.5,200
2026-01-11T19:53:52.236958,501.01,100,31.7,500
2026-01-11T19:53:52.336958,1510.73,73,33.2,1500
2026-01-11T19:53:52.436958,998.28,148,34.4,1000
2026-01-11T19:53:52.536958,985.87,93,21.5,1000
2026-01-11T19:53:52.636958,206.35,110,34.0,200
2026-01-11T19:53:52.736958,101.14,74,26.5,100
2026-01-11T19:53:52.836958,1495.29,141,34.5,1500
2026-01-11T19:53:52.936958,198.24,113,20.9,200
2026-01-11T19:53:53.036958,1024.89,71,26.1,1000
2026-01-11T19:53:53.136958,992.17,108,28.8,1000
2026-01-11T19:53:53.236958,197.52,128,32.2,200
2026-01-11T19:53:53.336958,192.6,76,33.7,200
2026-01-11T19:53:53.436958,1491.89,158,26.4,1500
2026-01-11T19:53:53.536958,499.34,100,34.1,500
