timestamp,distance_raw,signal_strength,temperature,distance_ref
2026-01-11T19:25:16.938974,96.16,107,33.8,100
2026-01-11T19:25:17.038974,197.07,68,22.3,200
2026-01-11T19:25:17.138974,514.55,145,23.0,500
2026-01-11T19:25:17.238974,203.78,68,31.6,200
2026-01-11T19:25:17.338974,1007.42,35,21.1,1000
2026-01-11T19:25:17.438974,203.22,168,28.2,200
2026-01-11T19:25:17.538974,99.95,141,30.5,100
2026-01-11T19:25:17.638974,1532.55,60,29.2,1500
2026-01-11T19:25:17.738974,1012.68,138,29.2,1000
2026-01-11T19:25:17.838974,496.02,142,34.0,500
2026-01-11T19:25:17.938974,996.13,109,30.6,1000
2026-01-11T19:25:18.038974,492.87,109,23.4,500
2026-01-11T19:25:18.138974,500.86,72,22.3,500
2026-01-11T19:25:18.238974,1466.9,142,29.5,1500
2026-01-11T19:25:18.338974,506.36,161,21.5,500
2026-01-11T19:25:18.438974,1452.95,165,24.1,1500
2026-01-11T19:25:18.538974,204.93,150,24.0,200
2026-01-11T19:25:18.638974,1439.6,138,21.5,1500
2026-01-11T19:25:18.738974,1506.95,98,21.4,1500
2026-01-11T19:25:18.838974,505.48,117,25.8,500
2026-01-11T19:25:18.938974,984.04,124,23.4,1000
2026-01-11T19:25:19.038974,498.52,100,29.9,500
2026-01-11T19:25:19.138974,100.93,56,30.1,100
2026-01-11T19:25:19.238974,1009.45,82,32.9,1000
2026-01-11T19:25:19.338974,196.42,140,20.6,200
2026-01-11T19:25:19.438974,1481.57,165,30.9,1500
2026-01-11T19:25:19.538974,506.76,127,27.7,500
2026-01-11T19:25:19.638974,206.76,108,24.2,200
2026-01-11T19:25:19.738974,1420.53,106,27.3,1500
2026-01-11T19:25:19.838974,1519.89,94,26.3,1500
2026-01-11T19:25:19.938974,101.29,110,32.8,100
2026-01-11T19:25:20.038974,1005.71,125,21.0,1000
2026-01-11T19:25:20.138974,513.99,104,24.9,500
2026-01-11T19:25:20.238974,196.14,101,33.9,200
2026-01-11T19:25:20.338974,497.28,117,30.4,500
2026-01-11T19:25:20.438974,196.92,61,30.2,200
2026-01-11T19:25:20.538974,100.3,114,33.8,100
2026-01-11T19:25:20.638974,1499.04,154,21.7,1500
2026-01-11T19:25:20.738974,1007.26,84,20.3,1000
2026-01-11T19:25:20.838974,1019.13,150,32.9,1000
2026-01-11T19:25:20.938974,198.18,134,24.2,200
2026-01-11T19:25:21.038974,100.09,116,29.5,100
2026-01-11T19:25:21.138974,491.14,160,25.4,500
