distanta_bruta,intensitate,temperatura,distanta_reala
990.49,137,22.0,1000
96.18,74,29.2,100
196.95,104,32.9,200
99.98,116,27.5,100
1534.45,168,28.4,1500
1478.73,144,29.8,1500
194.61,136,20.1,200
999.5,110,20.6,1000
1006.79,113,26.7,1000
1563.46,116,21.5,1500
520.7,97,24.9,500
982.76,88,27.3,1000
1486.74,104,33.7,1500
198.05,88,26.6,200
497.92,139,31.9,500
1495.88,155,31.3,1500
996.2,155,30.9,1000
1423.57,126,28.6,1500
1008.31,97,22.0,1000
497.59,69,34.7,500
99.85,204,34.7,100
1488.41,105,25.4,1500
193.69,106,23.7,200
97.24,79,34.3,100
1491.75,99,20.9,1500
99.19,116,24.6,100
201.74,74,26.5,200
100.83,158,29.0,100
207.2,143,32.2,200
99.83,122,28.0,100
104.98,107,34.0,100
196.45,138,22.9,200
1471.08,177,22.1,1500
1525.71,109,29.5,1500
502.91,132,32.9,500
497.27,117,20.7,500
201.76,98,24.3,200
101.42,94,32.5,100
99.23,89,24.4,100
101.44,153,30.5,100
202.18,109,24.5,200
1495.01,95,22.7,1500
1511.63,147,25.9,1500
199.52,203,24.4,200
503.83,111,28.3,500
195.74,110,27.8,200
1020.09,79,30.7,1000
200.54,110,33.4,200
103.38,130,32.8,100
196.91,165,23.6,200
197.57,155,31.6,200
1513.44,107,29.9,1500
1519.17,105,23.1,1500
198.87,148,34.3,200
1482.48,53,22.6,1500
496.13,134,31.8,500
1010.02,158,21.3,1000
1466.42,50,26.7,1500
101.6,113,33.7,100
1536.2,119,31.3,1500
1001.72,119,26.9,1000
201.68,122,22.2,200
975.66,90,33.0,1000
497.64,127,22.0,500
199.87,103,33.4,200
500.87,103,35.0,500
201.12,91,29.5,200
99.77,146,26.8,100
1007.65,165,26.5,1000
1018.25,115,26.2,1000
485.1,99,33.9,500
1559.5,116,21.1,1500
1524.64,130,32.5,1500
100.14,91,35.0,100
1003.11,141,21.7,1000
195.37,137,29.5,200
1469.12,141,21.3,1500
1009.62,132,24.0,1000
100.07,155,28.6,100
100.84,131,26.3,100
97.56,152,26.7,100
1483.15,136,25.2,1500
204.09,145,28.7,200
486.35,122,27.3,500
1504.25,119,25.4,1500
1513.67,94,34.5,1500
994.26,147,24.4,1000
500.54,82,21.4,500
1510.17,63,33.7,1500
973.73,120,31.6,1000
505.79,89,22.4,500
204.77,104,20.4,200
502.15,108,21.6,500
200.95,152,28.5,200
192.46,127,27.0,200
1456.22,129,29.1,1500
101.82,61,25.2,100
198.55,146,28.6,200
500.26,95,34.3,500
1564.96,147,22.5,1500
194.57,116,23.0,200
207.73,114,20.9,200
200.16,168,32.6,200
487.68,99,24.1,500
1566.28,126,33.9,1500
199.17,151,24.1,200
1521.56,173,25.0,1500
1471.58,137,24.8,1500
98.23,103,28.4,100
201.45,141,34.2,200
101.53,97,27.8,100
1519.11,168,28.3,1500
99.39,130,24.3,100
200.51,150,28.2,200
488.41,141,27.8,500
205.26,110,25.8,200
98.5,118,23.7,100
201.61,115,20.9,200
1025.67,69,25.9,1000
206.72,118,31.4,200
508.62,130,32.6,500
193.86,159,21.3,200
1463.69,157,29.9,1500
1531.34,192,34.1,1500
98.22,81,20.9,100
195.46,129,26.6,200
199.85,118,30.7,200
500.09,150,23.0,500
1510.48,108,21.1,1500
998.92,132,22.2,1000
490.86,86,25.5,500
978.42,102,24.7,1000
1017.44,137,20.1,1000
98.94,117,20.6,100
197.02,123,28.4,200
209.08,132,34.3,200
1537.58,121,27.5,1500
98.49,174,31.0,100
200.24,168,20.5,200
97.49,109,20.3,100
198.88,118,29.1,200
202.85,109,23.3,200
98.46,111,30.4,100
977.96,166,28.0,1000
1509.65,95,31.8,1500
1017.17,69,33.7,1000
1541.76,115,27.1,1500
1019.04,51,21.4,1000
1513.28,102,22.4,1500
101.53,92,33.1,100
97.31,161,24.2,100
202.74,91,20.8,200
101.08,134,20.5,100
488.92,81,25.0,500
505.62,73,20.2,500
516.69,150,20.7,500
502.62,126,33.7,500
999.79,138,33.2,1000
200.07,111,29.7,200
1003.54,113,34.2,1000
1442.15,117,32.6,1500
491.7,135,27.9,500
101.24,141,30.4,100
1486.48,77,29.6,1500
497.02,100,34.8,500
500.5,113,29.5,500
196.2,131,33.9,200
202.58,104,22.2,200
197.9,156,29.9,200
204.8,93,28.4,200
506.27,89,34.7,500
1019.38,132,33.0,1000
1489.94,89,26.9,1500
101.02,122,29.6,100
1492.85,46,29.7,1500
1490.65,134,31.4,1500
972.31,110,32.0,1000
205.92,100,24.8,200
99.28,198,27.8,100
1535.49,90,21.8,1500
99.25,156,21.1,100
99.59,135,26.9,100
499.2,117,23.4,500
505.61,107,22.9,500
205.48,124,25.2,200
1004.7,163,23.1,1000
1488.1,121,22.6,1500
973.38,95,23.9,1000
101.13,129,27.8,100
501.16,104,23.9,500
201.52,75,22.2,200
101.38,112,27.5,100
197.04,88,34.3,200
97.08,74,32.9,100
99.74,162,23.8,100
199.73,150,31.4,200
487.87,126,32.5,500
502.26,147,33.0,500
1031.99,66,28.6,1000
203.73,122,22.8,200
1486.9,108,27.8,1500
1496.49,134,23.0,1500
203.4,101,20.1,200
203.26,127,30.5,200
198.52,136,33.5,200
203.22,144,21.8,200
499.71,78,32.8,500
1469.88,95,30.5,1500
1527.36,136,30.4,1500
98.05,57,23.5,100
97.9,144,20.5,100
1510.67,149,23.6,1500
197.9,100,23.5,200
203.57,130,23.9,200
505.77,96,26.2,500
514.21,85,26.9,500
487.0,160,23.6,500
202.73,131,28.8,200
1021.7,218,22.7,1000
989.2,157,22.6,1000
993.92,159,33.6,1000
980.06,137,28.7,1000
205.77,147,25.2,200
1494.79,140,29.1,1500
498.39,140,29.4,500
1037.34,127,32.1,1000
1497.1,138,32.2,1500
205.21,130,31.2,200
535.77,119,29.1,500
508.78,155,23.2,500
101.68,124,34.1,100
99.22,120,26.3,100
101.65,111,20.3,100
1018.48,114,24.0,1000
507.35,93,25.2,500
500.37,80,28.9,500
201.23,123,20.0,200
98.02,132,28.0,100
1501.37,137,26.9,1500
191.21,87,25.9,200
1467.37,84,33.0,1500
988.28,108,30.8,1000
104.55,100,32.3,100
100.31,144,20.5,100
992.62,124,34.8,1000
1005.44,120,34.7,1000
1497.92,114,23.8,1500
194.23,165,25.4,200
478.31,155,30.0,500
101.16,124,20.3,100
499.26,104,33.1,500
1476.56,145,34.9,1500
1479.24,105,20.8,1500
99.81,97,26.2,100
994.68,98,21.7,1000
98.12,186,31.3,100
976.0,148,24.8,1000
514.28,161,23.9,500
98.14,124,31.4,100
1489.32,163,23.4,1500
993.04,103,29.1,1000
203.09,153,27.1,200
207.27,151,31.3,200
199.35,134,30.6,200
202.2,135,22.9,200
1516.06,112,29.1,1500
989.18,81,20.8,1000
487.98,80,34.2,500
193.92,107,27.2,200
479.72,108,33.6,500
502.99,122,28.2,500
1504.06,76,28.2,1500
200.92,64,30.3,200
1038.58,109,20.9,1000
100.4,92,28.1,100
97.06,166,23.5,100
1018.38,96,32.0,1000
100.54,158,22.4,100
1479.84,103,23.1,1500
96.41,177,24.3,100
202.66,89,24.0,200
988.68,98,22.7,1000
482.51,165,34.1,500
499.3,169,21.1,500
201.88,121,23.6,200
100.32,127,25.6,100
1013.31,125,20.5,1000
1505.02,196,31.9,1500
1000.85,129,25.3,1000
493.46,122,21.1,500
1029.28,67,33.5,1000
1500.91,167,28.9,1500
506.48,125,34.2,500
201.91,80,26.2,200
101.49,157,34.9,100
1479.64,140,31.6,1500
494.98,127,22.4,500
510.55,123,24.4,500
966.01,76,22.0,1000
1004.26,153,25.7,1000
201.0,112,23.9,200
198.19,113,22.2,200
507.5,173,26.7,500
995.07,159,29.5,1000
203.97,208,23.3,200
1027.85,118,27.6,1000
100.65,112,21.4,100
98.1,119,27.5,100
505.16,100,29.6,500
98.43,126,26.4,100
503.79,132,24.4,500
100.52,86,32.5,100
989.72,120,33.8,1000
995.17,105,34.5,1000
201.04,124,26.5,200
1026.79,117,34.3,1000
200.07,92,23.2,200
1002.28,90,26.8,1000
198.5,111,32.9,200
977.01,148,28.3,1000
504.7,141,27.3,500
490.74,91,35.0,500
101.04,177,31.5,100
1497.46,73,20.6,1500
503.85,91,28.4,500
203.84,106,27.1,200
503.64,96,32.3,500
204.47,65,26.8,200
100.94,127,34.0,100
100.2,156,25.2,100
990.83,119,28.5,1000
983.93,89,32.0,1000
488.96,49,21.2,500
1499.2,103,23.3,1500
1467.83,97,26.1,1500
494.11,107,22.0,500
200.55,116,22.1,200
997.7,108,27.5,1000
998.33,116,29.1,1000
96.93,113,30.4,100
492.97,132,22.5,500
99.2,145,33.4,100
500.09,156,30.8,500
204.56,109,33.7,200
999.34,130,27.0,1000
200.14,145,23.9,200
479.42,106,29.6,500
1014.0,121,28.2,1000
199.77,64,21.1,200
1523.81,123,34.1,1500
